,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
6582,1237662239091916881,1926493689874507776,219.54254,9.336068,0.030295,132.758,10.8539,-3.5371,2
6583,1237662198819651850,1933244422229616640,225.834148,9.189305,0.029288,128.25,10.0312,-4.0369,2
6584,1237664286172053830,1981748264805885952,133.237644,9.317066,0.029358,128.562,10.4992,-1.944,2
6585,1237662263779459146,2038015509357684736,213.945916,8.910182,0.028705,125.645,10.5721,-3.8783,2
6587,1237664835934879824,2191056801632380928,146.667359,30.745624,0.028443,124.474,10.1631,-4.1131,2
6588,1237664874040721629,2342026343820060672,119.168819,16.920113,0.028697,125.607,10.276,-0.2625,2
6589,1237665352391458930,2402794436166707200,218.057346,28.6012,0.031085,136.299,10.0415,-4.2383,2
6590,1237665549439795565,2479294601735727104,245.388799,14.472793,0.029707,130.124,10.0365,-4.2534,2
6591,1237651252023525473,503422150506473472,132.498127,53.517706,0.030644,134.324,10.6463,-3.4052,2
6592,1237651251486589158,505612927810693120,132.82376,53.172024,0.030831,135.163,10.0166,-4.3402,2
6593,1237667211586044047,2581761391614519296,141.830751,22.895167,0.029301,128.311,10.2116,-4.1183,2
6594,1237670965383266430,2739351920832440320,134.972231,13.182054,0.030829,135.154,10.4573,-2.2203,2
6595,1237670964846592202,2740516853502732288,135.43943,12.991427,0.029208,127.895,10.0351,-1.3953,2
6596,1237654879665848483,660967050981697536,220.73853,3.557533,0.028876,126.409,10.279,-3.9703,2
6597,1237657628451471524,989746597019543552,170.516404,50.815153,0.028011,122.542,10.3732,-3.3612,2
6598,1237667447811408036,3001744055487981568,204.597117,23.972158,0.028185,123.318,10.0412,-4.2019,2
6599,1237658300056863059,1334293688515323904,126.338361,4.430964,0.030905,135.495,10.4933,-3.9187,2
6600,1237662306199666786,1567371464926062592,239.645012,27.618251,0.031239,136.993,10.9079,-3.5283,2
6601,1237662303504433160,1877033257049024512,200.824876,52.651851,0.030487,133.619,10.272,0.1021,2
6602,1237671690689118518,2445625367810041856,240.051414,19.584706,0.030945,135.672,10.0067,-1.8711,2
6603,1237665534931239299,2475954560120678400,240.240304,18.943697,0.030645,134.328,10.031,-4.1064,2
6604,1237667444580352079,2507500927540291584,181.470502,28.615864,0.029455,129.0,10.0837,-3.4524,2
6605,1237668310014886112,3115400022913476608,230.863574,13.571775,0.028815,126.135,10.1983,-1.198,2
6606,1237667782845005899,3119964925078824960,210.1671,20.701158,0.028932,126.657,10.1232,-0.4956,2
6607,1237662224080896087,1854431422845052928,222.418157,32.969308,0.030307,132.814,10.3645,-3.9899,2
6608,1237667292114976785,2573842708367960064,137.666343,18.696584,0.028379,124.189,11.028,-3.3433,2
6611,1237668272442638528,3109855465517901824,219.843916,17.013367,0.030479,133.582,10.9251,-3.512,2
6612,1237667910602063901,3133460055869908992,206.85695,22.578283,0.028807,126.101,10.3025,-4.057,2
6613,1237654952666595635,706012120206043136,248.372695,46.027352,0.030146,132.094,10.0031,-0.6477,2
6614,1237658205050110054,1440132129626286080,191.059486,50.231656,0.028066,122.789,10.2023,-3.9066,2
6615,1237661382240829503,1613495981284812800,160.185116,39.074323,0.029966,131.287,10.1902,-0.1985,2
6616,1237667910066307109,3118887128520484864,209.523621,21.797488,0.028062,122.769,10.5276,-3.3219,2
6617,1237663531329192039,1955759932573771776,116.280215,46.072409,0.031238,136.985,10.7856,-3.3047,2
6618,1237661387617075375,1506553352668866560,246.424733,37.51661,0.030838,135.194,10.2574,-0.6384,2
6619,1237667253476327451,2504062754596349952,178.197292,29.329006,0.028695,125.598,11.0108,-3.4309,2
6620,1237658203438907457,1438970220696856576,188.92332,48.909619,0.028456,124.529,10.2992,-3.9192,2
6621,1237668293906530358,2791233207561906176,161.096015,18.487784,0.031437,137.882,10.746,-3.0684,2
6622,1237651250954633294,867004539205609472,149.252602,59.9689,0.030999,135.917,10.2887,0.2,2
6623,1237663787957748061,2107822671126358016,124.316308,56.905181,0.02915,127.633,10.5489,-1.167,2
6624,1237663789567639699,2106661586813872128,120.760248,56.106739,0.028808,126.103,10.1859,-1.829,2
6625,1237662239089819956,2039104021490329600,214.670374,9.818947,0.029377,128.649,10.3036,-4.0157,2
6626,1237661068711887102,1963600275113535488,151.207275,11.912946,0.030981,135.834,10.3911,-3.5451,2
6627,1237661874028281909,1522384396869462016,227.229553,37.558279,0.029067,127.262,10.0056,-4.2553,2
6628,1237665567152537820,3147035451714463744,234.886537,17.431862,0.029349,128.524,10.0373,0.0226,2
6629,1237667783903281233,2814860887876200448,172.112621,22.872513,0.03126,137.087,10.2119,-0.0582,2
6630,1237660765379952692,1434563107576899584,142.157278,36.76986,0.028134,123.09,10.2452,-3.9562,2
6632,1237655374649622960,922149997271607296,253.215974,36.094791,0.030798,135.016,10.2594,-2.831,2
6633,1237655374648574080,921008703967094784,251.442781,37.996261,0.030747,134.786,10.0726,-0.7024,2
6634,1237668299287887969,3103135250029504512,209.356645,19.209185,0.030746,134.782,10.1406,-4.2396,2
6635,1237667292114583693,2572684922623911936,136.878428,18.434783,0.029109,127.45,10.7809,-2.981,2
6636,1237665369043959951,2355515704070924288,167.86457,31.560274,0.028375,124.167,10.1334,-3.0258,2
6637,1237671262808375495,2733744686089922560,130.979795,11.770999,0.029142,127.599,10.1894,-1.0262,2
6638,1237661125072257358,1782439514728327168,120.118824,21.136262,0.030229,132.462,10.2735,-0.9832,2
6639,1237664817672028201,2376889935354423296,169.365154,35.600395,0.029112,127.466,10.1125,-4.2864,2
6640,1237655742404624489,657692705740056576,216.544203,5.256501,0.028367,124.135,10.7415,0.3664,2
6641,1237654602641244319,649756985901737984,159.347121,5.438504,0.029311,128.354,10.1339,-4.1393,2
6642,1237667914883596460,2938617798529673216,185.318784,19.498793,0.030444,133.427,10.0018,-3.9266,2
6643,1237661358619689133,1638288869885503488,190.282813,48.327617,0.030414,133.291,10.8489,-1.9839,2
6644,1237654399150850187,870392410985752576,158.44529,62.237056,0.030749,134.793,10.5865,-3.6853,2
6645,1237658916385915016,1170995597289744384,198.312388,53.205337,0.029934,131.142,10.5531,-3.8465,2
6646,1237655463778451549,892913432678918144,225.677168,54.63862,0.029133,127.559,10.4262,-4.0141,2
